Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
AECLIDBG,AEG,Eclipse,Supervisor,,,,ADOSSIER  (Folder table  ),__||__DOSSIER(Folder) +   LOGIN(Login) +   ,NUMLIG(Line no.) +   __||__ ,NUMLIG(Line no.) +    __||__   DOSSIER(Folder) +   LOGIN(Login) +   
PWRKPND,PWR,Return line detail temporary,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )",,PRONUM(Process number) +   PNHNUM(Return no.) +   PNDLIN(Line) +   ,PRONUM(Process number) +   PNHNUM(Return no.) +   PNDLIN(Line) +   
AECLIRDV,AEC,Eclipse,Supervisor,,,,ADOSSIER  (Folder table  ),__||__DOSSIER(Folder) +   LOGIN(Login) +   ,NUMLIG(Line no.) +   __||__ ,NUMLIG(Line no.) +    __||__   DOSSIER(Folder) +   LOGIN(Login) +   
AELT,AEL,Web elements dictionary,Supervisor,,,,,__||__,ELTTYP(Type) +   ELT(Entry) +   ELTLAN(Language) +   __||__ ELTTYP(Type) +   ELTINV(Valid) +   ELT(Entry) +   ELTLAN(Language) +   ,ELTTYP(Type) +   ELT(Entry) +   ELTLAN(Language) +    __||__   ELTTYP(Type) +   ELTINV(Valid) +   ELT(Entry) +   ELTLAN(Language) +   
PWRKPNH,PWE,Temporary return,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , GAUTACE  (Automatic journals  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )",__||__,PRONUM(Process number) +   PNHNUM(Return no.) +   __||__ PRONUM(Process number) +   CPY(Company) +   PNHFCY(Return site) +   BPSINV(Bill-by supplier) +   CUR(Currency) +   PNHNUM(Return no.) +   ,PRONUM(Process number) +   PNHNUM(Return no.) +    __||__   PRONUM(Process number) +   CPY(Company) +   PNHFCY(Return site) +   BPSINV(Bill-by supplier) +   CUR(Currency) +   PNHNUM(Return no.) +   
AELTLINK,AEK,Web element links,Supervisor,,,,,__||__,ELTTYP(Type) +   ELT(Entry) +   ELTTYPLK(Linked type) +   ELTLK(Linked element) +   __||__ ELTTYPLK(Linked type) +   ELTLK(Linked element) +   ELTTYP(Type) +   ELT(Entry) +   ,ELTTYP(Type) +   ELT(Entry) +   ELTTYPLK(Linked type) +   ELTLK(Linked element) +    __||__   ELTTYPLK(Linked type) +   ELTLK(Linked element) +   ELTTYP(Type) +   ELT(Entry) +   
AENCHAINE,AEN,Import/export sequence,Supervisor,,,,AOBJEXT  (Import/export templates  ),,CODE(Code) +   NUMLIG(Order no.) +   ,CODE(Code) +   NUMLIG(Order no.) +   
PWRKPOP,PWP,Temporary product-contract,Purchasing,,,,"TABCOUNTRY  (Country table  ) , CACCE  (Dimensions  ) , PIMPL  (  ) , PPREASON  (Purchase price reasons  )",,PRONUM(Process number) +   POHNUM(Order no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   ,PRONUM(Process number) +   POHNUM(Order no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   
AENTREE,APE,Entry points,Supervisor,,,,"ACTIV  (Activity codes  ) , AOBJET  (Basic objects  )",,TRTSTD(Standard processing) +   OBJ(Object) +   TRTSPE(Specific processing) +   ,TRTSTD(Standard processing) +   OBJ(Object) +   TRTSPE(Specific processing) +   
AESPION,AES,Trace system transactions,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  )",ESPDAT(Date) +   ESPTIM(Time) +   __||__ESPUSR(User) +   ESPDAT(Date) +   ESPTIM(Time) +   ,__||__ ,ESPDAT(Date) +   ESPTIM(Time) +    __||__   ESPUSR(User) +   ESPDAT(Date) +   ESPTIM(Time) +   
PWRKPQF,PWF,RFQ ADR supplier temporary,Purchasing,,,,"TABCOUNTRY  (Country table  ) , BPSUPPLIER  (Suppliers  )",,PRONUM(Process number) +   BPSNUM(Supplier) +   ,PRONUM(Process number) +   BPSNUM(Supplier) +   
AEXPV3,AEV,Table setup/import,Supervisor,,,,"AOBJEXT  (Import/export templates  ) , AEXPV3  (Table setup/import  )",,CODE(Code) +   ,CODE(Code) +   
AEXPV3D,AED,Table setup/import,Supervisor,,,,"AEXPV3  (Table setup/import  ) , AOBJEXTR  (Transcribe import/export  )",,CODE(Code) +   LIG(Line) +   ,CODE(Code) +   LIG(Line) +   
PWRKPTD,PWD,Temporary detail receipt,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )",,PRONUM(Process number) +   PTHNUM(Receipt no.) +   PTDLIN(Line) +   ,PRONUM(Process number) +   PTHNUM(Receipt no.) +   PTDLIN(Line) +   
AFCTCUR,AFU,Current function,Supervisor,,,,,,UID(Identifier) +   FCT(Function) +   ,UID(Identifier) +   FCT(Function) +   
AFCTEXE,AFE,Last functions executed,Supervisor,,,,AFONCTION  (Function dictionary  ),,USR(User code) +   LIG(Line number) +   ,USR(User code) +   LIG(Line number) +   
SHIPMENT,SHH,Shipment,Purchasing,,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , BPCARRIER  (Carriers  ) , TABCONTAINER  (Freight container  ) , TABPLACE  (Transit area  )",,SHIPNUM(Shipment number) +   ,SHIPNUM(Shipment number) +   
AFCTFCT,AFT,User function profile,Supervisor,,,,"AFCTFCT  (User function profile  ) , FACILITY  (Sites  )",,PRFCOD(Profile code) +   ,PRFCOD(Profile code) +   
AFCTFCY,AFF,Site profile function,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AFCTFCT  (User function profile  ) , FACILITY  (Sites  )",__||__PRFCOD(Profile code) +   FNC(Function) +   ,FCY(Site) +   PRFCOD(Profile code) +   FNC(Function) +   __||__ ,FCY(Site) +   PRFCOD(Profile code) +   FNC(Function) +    __||__   PRFCOD(Profile code) +   FNC(Function) +   
AFCTPRF,AFP,Functional authorization,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AFCTFCT  (User function profile  ) , COMPANY  (Company  )",,PRFCOD(Profile code) +   FNC(Function) +   FCYGRU(Site grouping) +   ,PRFCOD(Profile code) +   FNC(Function) +   FCYGRU(Site grouping) +   
AFONCTION,AFC,Function dictionary,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  )",__||____||____||____||__,CODINT(Internal code) +   __||__ CODEXT(External code) +   __||__ MENU(Parent menu) +   RANG(Row in menu) +   CODINT(Internal code) +   __||__ NUMFNC(Number) +   __||__ MODULE(Module) +   MENU(Parent menu) +   CODINT(Internal code) +   ,CODINT(Internal code) +    __||__   CODEXT(External code) +    __||__   MENU(Parent menu) +   RANG(Row in menu) +   CODINT(Internal code) +    __||__   NUMFNC(Number) +    __||__   MODULE(Module) +   MENU(Parent menu) +   CODINT(Internal code) +   
BANK,BAN,Bank accounts,A/P-A/R accounting,,"Accounting,Common data","Payment,Company and Sites","TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  )",,BAN(Code) +   ,BAN(Code) +   
AFORDIM,AFO,Sizing formulas,Supervisor,,,,ATABLE  (Table dictionary  ),,CODFIC(Table code) +   ,CODFIC(Table code) +   
AGDPRMAI,AGMAI,,Supervisor,,,,ATABLE  (Table dictionary  ),__||__,NUMREQ(Query no.) +   __||__ MAICOD() +   TABCOD(Table) +   TABFLD(Fields) +   ,NUMREQ(Query no.) +    __||__   MAICOD() +   TABCOD(Table) +   TABFLD(Fields) +   
BAPPOINT,BAP,Appointment,Common Data,,Customer relation,Customer relations 2,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  ) , CORRESPOND  (Outlook contact  ) , RESRES  (Resource reservations  )",__||__APTWEE(Appointment week) +   __||____||__APTWEE(Appointment week) +   APTDAT(Appointment date) +   APTHOU(Appointment time) +   __||__APTDATX(Week conversion) +   __||__APTCMP(BP) +   __||__APTORI(Source) +   APTORIVCR(Document no.) +   APTORIVCRL(Line no.) +   ,APTNUM(Appointment chrono) +   __||__ __||__ APTDAT(Appointment date) +   APTHOU(Appointment time) +   APTNUM(Appointment chrono) +   __||__ __||__ __||__ __||__ ,APTNUM(Appointment chrono) +    __||__   APTWEE(Appointment week) +    __||__   APTDAT(Appointment date) +   APTHOU(Appointment time) +   APTNUM(Appointment chrono) +    __||__   APTWEE(Appointment week) +   APTDAT(Appointment date) +   APTHOU(Appointment time) +    __||__   APTDATX(Week conversion) +    __||__   APTCMP(BP) +    __||__   APTORI(Source) +   APTORIVCR(Document no.) +   APTORIVCRL(Line no.) +   
AGDPRPHONE,AGPHO,,Supervisor,,,,ATABLE  (Table dictionary  ),__||__,NUMREQ(Query no.) +   __||__ TELCOD() +   TABCOD(Table) +   TABFLD(Fields) +   ,NUMREQ(Query no.) +    __||__   TELCOD() +   TABCOD(Table) +   TABFLD(Fields) +   
AGDPRSETTING,AGS,GDPR setup,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  )",__||____||__,CODE(Code) +   __||__ TYP(Type) +   CODE(Code) +   __||__ TYP(Type) +   CODATY(Data type) +   CODATB(Table) +   CODE(Code) +   ,CODE(Code) +    __||__   TYP(Type) +   CODE(Code) +    __||__   TYP(Type) +   CODATY(Data type) +   CODATB(Table) +   CODE(Code) +   
BILLLADH,BOLH,Bill of lading header,Common Data,,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  )",,BOLNUM(BOL number) +   ,BOLNUM(BOL number) +   
AGDPRVCR,AGVCR,GDPR search,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  )",__||__UID(Identifier) +   VCRKEY(Document) +   ,UID(Identifier) +   CODATY(Data type) +   CODFIC(Table) +   CODE(Code) +   VCRKEY(Document) +   __||__ ,UID(Identifier) +   CODATY(Data type) +   CODFIC(Table) +   CODE(Code) +   VCRKEY(Document) +    __||__   UID(Identifier) +   VCRKEY(Document) +   
AGLOBVAR,AGB,Global variables,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , AGLOBVAR  (Global variables  )",__||____||__,CODVAR(Variable code) +   __||__ TRTSTD(Processing) +   RANG(Sequence) +   CODVAR(Variable code) +   __||__ PARAM(Parameter) +   CODVAR(Variable code) +   ,CODVAR(Variable code) +    __||__   TRTSTD(Processing) +   RANG(Sequence) +   CODVAR(Variable code) +    __||__   PARAM(Parameter) +   CODVAR(Variable code) +   
BPARTNER,BPR,Business partner,Common Data,,"Accounting,Common data,Customer relation,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Payment,Business Partner,Customer relations 1,Customer relations 2,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Quotation,Sales Deliveries,Sales Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , BPCCATEG  (Customer category  )",__||__BPRSHO(Short description) +   __||__,BPRNUM(BP) +   __||__ __||__ BETFCY(Intersite) +   FCY(Site) +   BPRNUM(BP) +   ,BPRNUM(BP) +    __||__   BPRSHO(Short description) +    __||__   BETFCY(Intersite) +   FCY(Site) +   BPRNUM(BP) +   
AGRPFCY,AGF,Site groupings,Supervisor,,,,AGRPFCY  (Site groupings  ),,GRP(Group) +   ,GRP(Group) +   
BPCCATEG,BCG,Customer category,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCCATEG  (Customer category  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABINVCND  (  ) , TABPRTMOD  (Print template table  )",,BCGCOD(Category) +   ,BCGCOD(Category) +   
AHISTO,AHI,History/purge,Supervisor,,,,"ACTIV  (Activity codes  ) , AHISTO  (History/purge  )",,COD(Code) +   ,COD(Code) +   
AHISTOD,AHD,History/purge,Supervisor,,,,"ATABLE  (Table dictionary  ) , AHISTO  (History/purge  )",,COD(Code) +   LIG(Line number) +   ,COD(Code) +   LIG(Line number) +   
BPSCATEG,BSG,Supplier category,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , RITENZIONE  (Table of withholding codes  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPSCATEG  (Supplier category  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , MATCHTOL  (Matching tolerance  ) , PFOOTINV  (Purchase invoicing elements  ) , TABPRTMOD  (Print template table  )",,BSGCOD(Category) +   ,BSGCOD(Category) +   
AINDEX,ANX,Specific index,Supervisor,,,,ATABLE  (Table dictionary  ),__||____||__,LIG(Line number) +   __||__ TABLE(Table) +   LIG(Line number) +   __||__ TABLE(Table) +   CODIND(Index code) +   ,LIG(Line number) +    __||__   TABLE(Table) +   LIG(Line number) +    __||__   TABLE(Table) +   CODIND(Index code) +   
CARAREA,CAA,Carrier regions,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , FACILITY  (Sites  ) , BPCARRIER  (Carriers  )",__||__BPTNUM(Carrier) +   STOFCY(Shipment site) +   CRY(Country) +   POSCOD(Postal code) +   ,BPTNUM(Carrier) +   LINNUM(Line number) +   __||__ ,BPTNUM(Carrier) +   LINNUM(Line number) +    __||__   BPTNUM(Carrier) +   STOFCY(Shipment site) +   CRY(Country) +   POSCOD(Postal code) +   
AITRLNK,AIT,Interactive components,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  )",,CODLNK(Identifier) +   ,CODLNK(Identifier) +   
AJSAUDIT,AJA,Audit,Supervisor,ASD,,,,, +   , +   
AJSCONT,AJC,Sdata contract,Supervisor,ASD,,,,, +   , +   
AJSEXCEPT,AJE,Exception,Supervisor,ASD,,,,, +   , +   
AJSSYNC,AJS,Synchro,Supervisor,ASD,,,,, +   , +   
DEB,DEB,EU exchange declaration,Common Data,DEB,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )",__||__CPY(Company) +   VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +   FLO(Automatic flows) +   __||__,CPY(Company) +   DEBDAT(Intrastat date) +   FLO(Automatic flows) +   VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +   __||__ __||__ CPY(Company) +   DEBDAT(Intrastat date) +   FLO(Automatic flows) +   DEBLIN(Line no.) +   ,CPY(Company) +   DEBDAT(Intrastat date) +   FLO(Automatic flows) +   VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +    __||__   CPY(Company) +   VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +   FLO(Automatic flows) +    __||__   CPY(Company) +   DEBDAT(Intrastat date) +   FLO(Automatic flows) +   DEBLIN(Line no.) +   
ALINK,ALI,Link explorer,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )",,USRCOD(Group) +   SRCOBJ(Source object) +   SRCKEY(Source key) +   DSTOBJ(Destination object) +   DSTKEY(Destination key) +   ,USRCOD(Group) +   SRCOBJ(Source object) +   SRCKEY(Source key) +   DSTOBJ(Destination object) +   DSTKEY(Destination key) +   
ALISTEC,ALC,Graphical query tool,Supervisor,,,,ALISTEH  (Query tool  ),,COD(Code) +   ,COD(Code) +   
DEBREGNAT,DRN,Movement rule and nature,Common Data,DEB,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )",,LEG(Legislation) +   CRY(Country) +   GRP(Group) +   MVT(Movement) +   ,LEG(Legislation) +   CRY(Country) +   GRP(Group) +   MVT(Movement) +   
ALISTED,ALD,Query tool,Supervisor,,,,"ATYPE  (Data types  ) , ALISTEH  (Query tool  )",__||__COD(Code) +   ORD(Order) +   ,COD(Code) +   LIG(Line number) +   __||__ ,COD(Code) +   LIG(Line number) +    __||__   COD(Code) +   ORD(Order) +   
ALISTEH,ALH,Query tool,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACCCOD  (Access codes  ) , AOBJET  (Basic objects  ) , ALISTEH  (Query tool  ) , AREPORT  (Report dictionary  )",,COD(Code) +   ,COD(Code) +   
ALISTEL,ALL,Graphical query tool,Supervisor,,,,ALISTEH  (Query tool  ),,COD(Code) +   LNKORG(Link) +   LNKDES(Link) +   ,COD(Code) +   LNKORG(Link) +   LNKDES(Link) +   
ALISTER,ALR,Query tool,Supervisor,,,,ALISTEH  (Query tool  ),,COD(Code) +   USR(Operator) +   NIV(Level) +   LIG(Line) +   COL(Column) +   ,COD(Code) +   USR(Operator) +   NIV(Level) +   LIG(Line) +   COL(Column) +   
FACTOR,FCT,Factors,Common Data,,"Common data,Sales","Business Partner,Sales Invoice","TABCOUNTRY  (Country table  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , FACTOR  (Factors  ) , TABFILBAN  (Bank file definitions  )",__||__FCTNAM(Factor name) +   ,FCTCOD(Factor code) +   __||__ ,FCTCOD(Factor code) +    __||__   FCTNAM(Factor name) +   
ALISTET,ALT,Graphical query tool,Supervisor,,,,"ATABLE  (Table dictionary  ) , ALISTEH  (Query tool  )",,COD(Code) +   TBL(Table) +   ,COD(Code) +   TBL(Table) +   
INTERVEN,ITN,Service response,Common Data,,Customer relation,Service response,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SORDER  (Sales orders - header  ) , SERREQUEST  (Service requests  ) , RESRES  (Resource reservations  ) , CONTSERV  (Service contract  ) , MACHINES  (Installed base  )",__||__DATX(Week conversion) +   __||__BPC(Customer) +   __||__CCN(Contact (relationship)) +   __||__REP(Provider) +   DATX(Week conversion) +   __||__REP(Provider) +   DAT(Start) +   __||__DAT(Start) +   __||__ITNORI(Source) +   ITNORIVCR(Original document no.) +   ITNORIVCRL(Original line no.) +   ,NUM(Sequence no.) +   __||__ __||__ __||__ __||__ __||__ __||__ __||__ ,NUM(Sequence no.) +    __||__   DATX(Week conversion) +    __||__   BPC(Customer) +    __||__   CCN(Contact (relationship)) +    __||__   REP(Provider) +   DATX(Week conversion) +    __||__   REP(Provider) +   DAT(Start) +    __||__   DAT(Start) +    __||__   ITNORI(Source) +   ITNORIVCR(Original document no.) +   ITNORIVCRL(Original line no.) +   
ALOGIN,ALO,Login table,Supervisor,AUDIT,,,,BDDID(BDD identifier) +   FLG(Active flag) +   __||____||__ADOID(X3 identifier) +   ,__||__ SEQ(Sequence no.) +   __||__ ,BDDID(BDD identifier) +   FLG(Active flag) +    __||__   SEQ(Sequence no.) +    __||__   ADOID(X3 identifier) +   
ALSTRD,ALS,Last records read,Supervisor,,,,AOBJET  (Basic objects  ),,USR(User code) +   OBJ(Object to process) +   LIG(Line number) +   ,USR(User code) +   OBJ(Object to process) +   LIG(Line number) +   
MANDATE,MDT,Mandates,Common Data,SDD,,,"TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , MANDATE  (Mandates  )",__||__,CPY(Company) +   UMRNUM(Mandate reference) +   __||__ CPY(Company) +   BPCNUM(Customer code) +   UMRNUM(Mandate reference) +   ,CPY(Company) +   UMRNUM(Mandate reference) +    __||__   CPY(Company) +   BPCNUM(Customer code) +   UMRNUM(Mandate reference) +   
AMAINT,AMI,Database mass update,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  )",,COD(Code) +   ,COD(Code) +   
AMEMO,AMM,Memo,Supervisor,,,,"ACTIV  (Activity codes  ) , AWINDOW  (Window dictionary  )",,MEMO(Memo) +   ,MEMO(Memo) +   
PHONECALL,CLL,Call,Common Data,,Customer relation,Customer relations 2,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  ) , CORRESPOND  (Outlook contact  ) , SCRIPT  (Call script  )",__||__CLLDATX(Week conversion) +   __||__CLLCMP(BP) +   __||__CLLCCN(Contact (relationship)) +   __||__CLLREP(Sales rep) +   CLLDATX(Week conversion) +   __||__CLLCMGNUM(Campaign code) +   __||__CLLOPGTYP(Operation type) +   CLLOPGNUM(Operation code) +   __||__CLLORI(Source) +   CLLORIVCR(Original document no.) +   CLLORIVCRL(Original line no.) +   __||__,CLLNUM(Call time) +   __||__ __||__ __||__ __||__ __||__ __||__ __||__ __||__ CLLDAT(Date) +   CLLHOU(Time) +   CLLNUM(Call time) +   ,CLLNUM(Call time) +    __||__   CLLDATX(Week conversion) +    __||__   CLLCMP(BP) +    __||__   CLLCCN(Contact (relationship)) +    __||__   CLLREP(Sales rep) +   CLLDATX(Week conversion) +    __||__   CLLCMGNUM(Campaign code) +    __||__   CLLOPGTYP(Operation type) +   CLLOPGNUM(Operation code) +    __||__   CLLORI(Source) +   CLLORIVCR(Original document no.) +   CLLORIVCRL(Original line no.) +    __||__   CLLDAT(Date) +   CLLHOU(Time) +   CLLNUM(Call time) +   
AMENLOC,AML,Header messages,Supervisor,,,,ACTIV  (Activity codes  ),,MENLOC(Local menu) +   ,MENLOC(Local menu) +   
AMENUSER,AMU,User profile menu,Supervisor,,,,"AFONCTION  (Function dictionary  ) , APROFIL  (User profile  )",__||____||__CODPRF(Profile code) +   FONCTION(Function) +   ,CODPRF(Profile code) +   NUMLIG(Line number) +   __||__ CODPRF(Profile code) +   MENU(Menu code) +   NUMLIG(Line number) +   __||__ ,CODPRF(Profile code) +   NUMLIG(Line number) +    __||__   CODPRF(Profile code) +   MENU(Menu code) +   NUMLIG(Line number) +    __||__   CODPRF(Profile code) +   FONCTION(Function) +   
PINVOICE,PIH,Purchase invoices,Common Data,,"Purchasing,Sales","Purchase Invoice,Sales Invoice","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , RITENZIONE  (Table of withholding codes  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABPIVTYP  (Supp invoice type table  )",__||__BPR(BP) +   BPRVCR(Source document) +   __||____||__ACCDAT(Accounting date) +   BPR(BP) +   __||____||__CPY(Company) +   EECNUMDEB(EU Intrastat) +   ACCDAT(Accounting date) +   __||__RCRNUM(Recurring number) +   RCRDAT(Recurrence date) +   ,NUM(Document no.) +   __||__ __||__ GTE(Entry type) +   NUM(Document no.) +   __||__ __||__ CUR(Currency) +   BPR(BP) +   NUM(Document no.) +   __||__ __||__ ,NUM(Document no.) +    __||__   BPR(BP) +   BPRVCR(Source document) +    __||__   GTE(Entry type) +   NUM(Document no.) +    __||__   ACCDAT(Accounting date) +   BPR(BP) +    __||__   CUR(Currency) +   BPR(BP) +   NUM(Document no.) +    __||__   CPY(Company) +   EECNUMDEB(EU Intrastat) +   ACCDAT(Accounting date) +    __||__   RCRNUM(Recurring number) +   RCRDAT(Recurrence date) +   
